USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.5  0.1  26560 16500 ?        Ss   13:09   0:00 /usr/lib/systemd/systemd --switched-root --system --deserialize=51
root        2151  0.1  0.3 2680980 47652 ?       Ssl  13:09   0:00 /usr/bin/containerd
root        2175  0.1  0.5 2834260 85960 ?       Ssl  13:09   0:00 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root         599  0.1  0.0      0     0 ?        I    13:09   0:00 [kworker/u80:6-events_power_efficient]
root         208  0.1  0.0      0     0 ?        I    13:09   0:00 [kworker/u80:4-flush-252:0]
root        2179  0.1  0.1 1531088 26684 ?       Ssl  13:09   0:00 /usr/sbin/libvirtd --timeout 120
root        1077  0.1  0.0  40708 14840 ?        Ss   13:09   0:00 /usr/lib/systemd/systemd-udevd
root          12  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/u80:0-pm]
root        1024  0.0  0.2  56880 31136 ?        S<s  13:09   0:00 /usr/lib/systemd/systemd-journald
root         213  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/2:2-events_freezable]
kitalab     2686  0.0  0.0   9916  5788 tty1     Ss   13:09   0:00 -bash
root        2146  0.0  0.2 132952 34444 ?        Ssl  13:09   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
kitalab     2666  0.0  0.0  22348 13412 ?        Ss   13:09   0:00 /usr/lib/systemd/systemd --user
message+    1849  0.0  0.0   9360  6024 ?        Ss   13:09   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
systemd+    1785  0.0  0.0  21452 12164 ?        Ss   13:09   0:00 /usr/lib/systemd/systemd-networkd
root         194  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/u81:0-hci0]
polkitd     1858  0.0  0.0 382344 10396 ?        Ssl  13:09   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
systemd+    1065  0.0  0.0  22900 14348 ?        Ss   13:09   0:00 /usr/lib/systemd/systemd-resolved
root         210  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/u80:5-writeback]
root         187  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/2:1-events]
